Sigourney Weaver, Sarah Michelle Gellar, Patrick Warburton, George Carlin
Jamal Woolard, Anthony Mackie, Derek Luke, Mohamed Dione
Kevin James, Keir O'Donnell, Jayma Mays, Raini Rodriguez
Brendan Fraser, Andy Serkis, Eliza Bennett, Sienna Guillory
Dev Patel, Freida Pinto, Saurabh Shukla, Anil Kapoor
Rhona Mitra, Michael Sheen, Bill Nighy, Steven Mackintosh
Sean Penn, Josh Brolin, Emile Hirsch, Diego Luna
Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser
Emily Browning, Arielle Kebbel, Elizabeth Banks, David Strathairn
Dakota Fanning, Teri Hatcher, John Hodgman, Jennifer Saunders
Jennifer Aniston, Jennifer Connelly, Morgan Lily, Trenton Rogers
Camilla Belle, Dakota Fanning, Chris Evans, Colin Ford
Steve Martin, Jean Reno, Emily Mortimer, Andy Garcia
Isla Fisher, Hugh Dancy, Krysten Ritter, Joan Cusack
Jared Padalecki, Amanda Righetti, Derek Mears, Danielle Panabaker
Clive Owen, Naomi Watts, Armin Mueller-Stahl, Ulrich Thomsen
Eric Christian Olsen, Nicholas D'Agosto, Sarah Roemer, Molly Sims
Kristin Kreuk, Neal McDonough, Michael Clarke Duncan, Chris Klein
Jackie Earle Haley, Patrick Wilson, Carla Gugino, Malin Akerman
Dwayne Johnson, Carla Gugino, AnnaSophia Robb, Alexander Ludwig
Julia Roberts, Clive Owen, Tom Wilkinson, Paul Giamatti
Paul Rudd, Jason Segel, Rashida Jones, Sarah Burns
Nicolas Cage, Chandler Canterbury, Rose Byrne, Lara Robinson
John Cena, Ashley Scott, Aidan Gillen, Steve Harris
Reese Witherspoon, Rainn Wilson, Stephen Colbert, Seth Rogen
Amy Adams, Emily Blunt, Alan Arkin, Jason Spevack
Virginia Madsen, Martin Donovan, Elias Koteas, Kyle Gallner
Jesse Eisenberg, Kristen Stewart, Ryan Reynolds, Kelsey Ford
Vin Diesel, Paul Walker, Michelle Rodriguez, Jordana Brewster
Justin Chatwin, James Marsters, Yun-Fat Chow, Emmy Rossum
Miley Cyrus, Emily Osment, Billy Ray Cyrus, Jason Earles
Seth Rogen, Anna Faris, Ray Liotta, Michael Pe\u00f1a
Zac Efron, Matthew Perry, Leslie Mann, Thomas Lennon
Jason Statham, Amy Smart, Clifton Collins Jr., Dwight Yoakam
Russell Crowe, Rachel McAdams, Ben Affleck, Helen Mirren
Beyonc\u00e9 Knowles, Idris Elba, Ali Larter, Jerry O'Connell
Jamie Foxx, Robert Downey Jr., Catherine Keener, Tom Hollander
Matthew McConaughey, Jennifer Garner, Emma Stone, Michael Douglas
Hugh Jackman, Liev Schreiber, Ryan Reynolds, Danny Huston
Mos Def, Mike Epps, Donald Faison, Wood Harris
Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy
Tom Hanks, Ewan McGregor, Ayelet Zurer, Stellan Skarsg\u00e5rd
Christian Bale, Sam Worthington, Anton Yelchin, Moon Bloodgood
Marlon Wayans, Shawn Wayans, Shoshana Bush, Damon Wayans Jr.
Ben Stiller, Owen Wilson, Amy Adams, Hank Azaria
Alison Lohman, Justin Long, Ruth Livier, Lorna Raver
Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer
Will Ferrell, Danny McBride, Anna Friel, Jorma Taccone
Nia Vardalos, Richard Dreyfuss, Rachel Dratch, Alexis Georgoulis
Zach Galifianakis, Bradley Cooper, Justin Bartha, Ed Helms
Eddie Murphy, Thomas Haden Church, Yara Shahidi, Ronny Cox
Denzel Washington, John Travolta, Luis Guzm\u00e1n, Victor Gojcaj
Sandra Bullock, Ryan Reynolds, Mary Steenburgen, Craig T. Nelson
Jack Black, Michael Cera, Olivia Wilde, Oliver Platt
Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson
John Krasinski, Maya Rudolph, Allison Janney, Carmen Ejogo
Cameron Diaz, Abigail Breslin, Alec Baldwin, Walter Raney
Ray Romano, John Leguizamo, Denis Leary, Eunice Cho
Christian Bale, Johnny Depp, James Russo, David Wenham
Evan Rachel Wood, Larry David, Henry Cavill, Adam Brooks
Sacha Baron Cohen, Gustaf Hammarsten, Clifford Ba\u00f1agale, Chibundu Orukwowu
Hayden Panettiere, Paul Rust, Jack Carpenter, Lauren London
Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon
Andy Garcia, Julianna Margulies, Steven Strait, Emily Mortimer
Will Arnett, Pen\u00e9lope Cruz, Zach Galifianakis, Bill Nighy
Vera Farmiga, Peter Sarsgaard, Isabelle Fuhrman, CCH Pounder
Katherine Heigl, Gerard Butler, Bree Turner, Eric Winter
Ashley Tisdale, Robert Hoffman, Carter Jenkins, Austin Butler
Adam Sandler, Seth Rogen, Leslie Mann, Eric Bana
Zooey Deschanel, Joseph Gordon-Levitt, Geoffrey Arend, Chlo\u00eb Grace Moretz
Milla Jovovich, Steve Zahn, Timothy Olyphant, Kiele Sanchez
Dennis Quaid, Channing Tatum, Marlon Wayans, Adewale Akinnuoye-Agbaje
Amy Adams, Meryl Streep, Chris Messina, Stanley Tucci
Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa, Sarah Roemer
Aly Michalka, Vanessa Hudgens, Gaelan Connell, Scott Porter
Sharlto Copley, David James, Jason Cope, Nathalie Boltt
Eric Bana, Rachel McAdams, Ron Livingston, Michelle Nolden
Brad Pitt, Diane Kruger, Eli Roth, M\u00e9lanie Laurent
Alexis Bledel, Michael Keaton, Carol Burnett, Zach Gilford
Scout Taylor-Compton, Tyler Mane, Malcolm McDowell, Sheri Moon Zombie
Demetri Martin, Henry Goodman, Edward Hibbert, Imelda Staunton
Nick Zano, Krista Allen, Andrew Fiscella, Bobby Campo
Sandra Bullock, Bradley Cooper, Thomas Haden Church, Ken Jeong
Jason Bateman, Kristen Wiig, Ben Affleck, Mila Kunis
Gerard Butler, Michael C. Hall, Ludacris, Amber Valletta
Elijah Wood, Jennifer Connelly, Crispin Glover, Christopher Plummer
Briana Evigan, Rumer Willis, Carrie Fisher, Teri Andrzejewski
Kate Beckinsale, Gabriel Macht, Tom Skerritt, Columbus Short
Anna Faris, Bill Hader, Bruce Campbell, James Caan
Megan Fox, Amanda Seyfried, Adam Brody, Johnny Simmons
Jennifer Aniston, Aaron Eckhart, Dan Fogler, John Carroll Lynch
Matt Damon, Tony Hale, Patton Oswalt, Lucas McHugh Carroll
Kelsey Grammer, Bebe Neuwirth, Megan Mullally, Kay Panabaker
Dennis Quaid, Ben Foster, Cam Gigandet, Antje Traue
Bruce Willis, Radha Mitchell, Ving Rhames, Rosamund Pike
Ricky Gervais, Jennifer Garner, Jonah Hill, Louis C.K.
Ellen Page, Drew Barrymore, Kristen Wiig, Sarah Habel
Jesse Eisenberg, Emma Stone, Woody Harrelson, Abigail Breslin
Michael Stuhlbarg, Richard Kind, Sari Lennick, Fred Melamed
Vince Vaughn, Malin Akerman, Jon Favreau, Jason Bateman
Gerard Butler, Jamie Foxx, Leslie Bibb, Colm Meaney
Katie Featherston, Micah Sloat, Mark Fredrichs, Amber Armstrong
Penn Badgley, Dylan Walsh, Sela Ward, Amber Heard
Max Records, Catherine O'Hara, Forest Whitaker, Pepita Emmerichs
Hilary Swank, Richard Gere, Ewan McGregor, Christopher Eccleston
Freddie Highmore, Nicolas Cage, Kristen Bell, Charlize Theron
Chris Massoglia, John C. Reilly, Salma Hayek, Josh Hutcherson
Tobin Bell, Costas Mandylor, Mark Rolston, Betsy Russell
Michael Jackson, Alex Al, Alexandra Apjarova, Nick Bass
Carey Mulligan, Aaron Johnson, Pierce Brosnan, Susan Sarandon
Jim Carrey, Gary Oldman, Colin Firth, Steve Valentine
Cameron Diaz, James Marsden, Frank Langella, James Rebhorn
Milla Jovovich, Elias Koteas, Will Patton, Charlotte Milchard
Ewan McGregor, George Clooney, Kevin Spacey, Jeff Bridges
John Cusack, Thandie Newton, Chiwetel Ejiofor, Amanda Peet
Philip Seymour Hoffman, Bill Nighy, Nick Frost, Michael Hadley
Dwayne Johnson, Seann William Scott, Jessica Biel, John Cleese
Quinton Aaron, Sandra Bullock, Tim McGraw, Jae Head
Kristen Stewart, Robert Pattinson, Taylor Lautner, Christina Jastrzembska
George Clooney, Meryl Streep, Bill Murray, Jason Schwartzman
Rain, Rick Yune, Naomie Harris, Ben Miles
Robin Williams, John Travolta, Seth Green, Kelly Preston
Viggo Mortensen, Charlize Theron, Kodi Smit-McPhee, Robert Duvall
Columbus Short, Matt Dillon, Laurence Fishburne, Jean Reno
Jake Gyllenhaal, Natalie Portman, Tobey Maguire, Sam Shepard
Robert De Niro, Kate Beckinsale, Sam Rockwell, Drew Barrymore
Morgan Freeman, Matt Damon, Tony Kgoroge, Patrick Mofokeng
Anika Noni Rose, Keith David, Oprah Winfrey, Bruno Campos
Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez
Hugh Grant, Sarah Jessica Parker, Sam Elliott, Elisabeth Moss
Jason Lee, Zachary Levi, David Cross, Justin Long
George Clooney, Vera Farmiga, Anna Kendrick, Jason Bateman
Meryl Streep, Steve Martin, Alec Baldwin, John Krasinski
Daniel Day-Lewis, Marion Cotillard, Penélope Cruz, Sophia Loren
Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong
Ethan Hawke, Willem Dafoe, Sam Neill, Claudia Karvan
Amy Adams, Matthew Goode, Adam Scott, John Lithgow
Michael Cera, Portia Doubleday, Ray Liotta, Jean Smart
Denzel Washington, Mila Kunis, Ray Stevenson, Gary Oldman
Rachel Weisz, Mark Wahlberg, Saoirse Ronan, Susan Sarandon
Brendan Fraser, Keri Russell, Harrison Ford, Meredith Droeger
Paul Bettany, Dennis Quaid, Charles S. Dutton, Lucas Black
Dwayne Johnson, Ashley Judd, Julie Andrews, Stephen Merchant
Mel Gibson, Ray Winstone, Danny Huston, Bojana Novakovic
Channing Tatum, Amanda Seyfried, Richard Jenkins, Henry Thomas
John Travolta, Jonathan Rhys Meyers, Kasia Smutniak, Richard Durden
Jim Carrey, Ewan McGregor, Leslie Mann, Rodrigo Santoro
Logan Lerman, Kevin McKidd, Steve Coogan, Brandon T. Jackson
Benicio Del Toro, Anthony Hopkins, Emily Blunt, Simon Merrells
Julia Roberts, Jamie Foxx, Anne Hathaway, Jessica Alba
Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo, Ben Kingsley
Bruce Willis, Tracy Morgan, Juan Carlos Hern\u00e1ndez, Cory Fernandez
Radha Mitchell, Timothy Olyphant, Danielle Panabaker, Joe Anderson
Mia Wasikowska, Johnny Depp, Helena Bonham Carter, Anne Hathaway
Richard Gere, Don Cheadle, Ethan Hawke, Wesley Snipes
Robert Pattinson, Emilie de Ravin, Caitlyn Rund, Mois\u00e9s Acevedo
Jay Baruchel, Alice Eve, T.J. Miller, Mike Vogel
Zachary Gordon, Robert Capron, Rachael Harris, Steve Zahn
Jude Law, Forest Whitaker, Alice Braga, Liev Schreiber
Jennifer Aniston, Gerard Butler, Gio Perez, Joel Garland
Ewan McGregor, Pierce Brosnan, Olivia Williams, Jon Bernthal
John Cusack, Rob Corddry, Craig Robinson, Clark Duke
Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse, Craig Ferguson
